stt,review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9252_3,"'The Mill on the Floss' was one of the lesser novels by Mary Ann Evans, who wrote under the male pseudonym George Eliot. I tried to read this dull and very turgid novel years ago, but was unable to finish it. I'll review this film version solely on its own merits, as I don't know how faithfully it follows the original novel.<br /><br />The film's opening credits are printed in an Old English typeface that suggests the mediaeval period, and so it's a very poor choice for a film with a 19th-century setting. (On the other hand, about halfway into the film, we see a close-up shot of a handbill advertising an estate auction. This handbill is set in authentic Victorian type fonts, and looks *very* convincing.) Most of this film is extremely convincing in its depiction of the architecture and clothing of early 19th-century England. The precise location of this film's story is never disclosed, but - judging by the actors' accents - I'd place it as somewhere in the Cotswolds, perhaps Warwickshire.<br /><br />The plot, what there is of it, involves a mill that changes hands a couple of times (over a couple of decades) between two rival families, one wealthy and one working-class. I disagree with another IMDb reviewer who claims that James Mason has only a small role in this film. Mason has the largest and most central role in this drama, as the scion of the wealthier family. As the spoilt and petulant Tom Tulliver, Mason is darkly brooding and impetuous. His performance here belongs in a better film: it made me want to see 'Wuthering Heights' recast with Mason as Heathcliff.<br /><br />As this is a multi-generational saga (something which George Eliot did much better in 'Middlemarch'), several of the main roles in this film are split among two actors apiece: child actors in the prologue, adults in the main narrative. The prologue of this film features a very well-written scene, establishing Tom Tulliver as wilful and bully-ragging from an early age, and young Philip Wakeham as decent and thoughtful. Through hard labour, Philip has earned a halfpenny: Tom tries to bully it away from him, but is unwilling to take the coin by brute force: he wants Philip to *give* it to him. All the child actors in this movie, male and female, are talented and attractive. Unfortunately, all of the children speak their dialogue in posh plummy-voiced accents that are utterly unlike the accents of the actors and actresses who play those same roles as adults. This discrepancy calls attention to the staginess of the material. Regrettably, none of the later scenes are as good as this prologue.<br /><br />The climax features a crowd of labourers in a rainstorm, much better paced and photographed than the earlier scenes. But modern viewers (in Britain, at least) can no longer take this sort of material seriously. By now, practically every British comedian has done a \trouble at t' mill"," squire\"" comedy routine", parodying precisely this subject matter, so I had difficulty watching this movie with a straight face.<br /><br />The character actress Martita Hunt is good in a small role, but the opening credits (in that Old English typeface) misspell her forename as 'Marita'. I'll rate this dull movie 3 points out of 10: one point apiece for James Mason's performance, the early scene with the children," and the authentic Victorian typesetting in that auctioneer's handbill.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9896_9,"I just saw this film at the phoenix film festival today and loved it. The synopsis was listed in our program as \an old Shakespearean actor invites his three children to his suicide party\"". I wasn't sure if I was going to see it because when I read about it I liked the idea of a \""suicide party\"" it sounded very interesting to me"," but \""old Shakespearean actor\"" had me worried that the film would be kind of dry and boring. But I decided to give it a try. I am glad that I did. It was not dry and boring in the least", that dialogue was great, funny in a clever way, but not pretentious and difficult to understand. Peter Falk was terrific in this role, he stole the show. I also was pleasantly surprised by Laura San Giacomo's performance, usually she bugs me, but I enjoyed watching her in this film very much. I think Judge Reinhold's part could have been done better by another actor, at times he seemed kind of cheesy and it looked like acting," not like you were just watching this character. But the movie was so good I was able to forgive one actor's awkwardness. I would recommend this film to anyone and have already told a few people to see it as soon as it is available to the general public. Who knew suicide could be so hilarious?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574_4,"\The Love Letter\"" is one of those movies that could have been really clever", but they wasted it. Focusing on a letter wreaking havoc in a small town," the movie has an all-star cast with nothing to do. Tom Selleck and Alice Drummond had so recently co-starred in the super-hilarious \""In & Out\"" (also about an upset in a small town)", in which they were both great, but here they look as though they're getting drug all over the place. I can't tell what the people behind the camera are trying to do here (if anything), but they sure didn't accomplish anything. How tragic," that a potential laugh riot got so sorrowfully wasted.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11182_8,"Another fantastic offering from the Monkey Island team and though it was a long time coming and had to survive the departure of Ron Gilbert it's another worthy installment. My only gripe is that it was a little short seeming in comparison to the previous two, though that might be because of a glorious lack of disk-swapping. Roll on MI4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11656_4,"This was included on the disk \Shorts: Volume 2\""--a rather dull collection of short films. Shorts are among my favorite style of films but somehow the people assembling this second collection had a hard time finding quality content--and it wasn't nearly as good as the first volume or other shorts collections. <br /><br />This short film feels like it's woefully incomplete. There is a story", but so much in unanswered that the viewer, like me, feels a bit left out and unfulfilled.<br /><br />The film begins with a woman, her boyfriend and her Westie (that's a dog, by the way) going to a lonely beach. The lady speaks with an accent that, at times, is a bit difficult to follow. Given that I am hard of hearing, I sure would have loved if it had been closed captioned. Anyway, the boyfriend goes for a swim while she naps. When she awakens, her dog is gone. She panics and makes the guy follow her all about looking for the dog. They spend most of the time arguing and being disagreeable. Then, out of the blue, they stop to have sex. Later, they find the dog--end of story.<br /><br />As far as the characters go, both seemed rather dysfunctional and unlikable. She was a fussy and demanding lady and he seemed to have contempt for her. When you wondered why they were together, their little sex break showed what bond kept them together.<br /><br />Some might like the characterizations--I kept finding the people irritating and unreal--more like caricatures than people you might meet or know. Also," the payoff for all this just isn't worth the wait (unless you want to see the guy naked).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2322_4,"I'm not really much of an Abbott & Costello fan (although I do enjoy \Who's On First\"") and", to be honest, there wasn't much in this movie that would inspire me to watch any more of their work. It wasn't really bad. It had some mildly amusing scenes, and actually a very convincing giant played by Buddy Baer, but somehow, given the fame of the duo and the esteem in which they're generally held, I have to say I was expecting more. As the story goes, the pair stumble into a babysitting job, and during the reading of Jack & The Beanstalk as a bedtime story (with the kid reading it to Costello)," Costello's Jack falls asleep and dreams himself into the story. There's a \""Wizard Of Oz\"" kind of feel to the story", in that the characters in the dream are all the equivalents of real-life acquaintances of Jack, and the movie opens in black & white and shifts to colour during the dream sequence. The fight scenes between Jack and the giant and the dance scene between Jack and Polly (Dorothy Ford) are among the amusing parts of the movie. Polly, of course, also leads to one of the questions of the movie - what happened to her? Jack and gang apparently left her behind in the giant's castle! I know - it was just a dream, so who cares. Still - I wondered. There were also a couple of cute song and dance routines. My 4 year old giggled a bit during this, so she was able to appreciate some of the humour. I found it to be an acceptable timewaster," but certainly not anything that would convince you of Abbott and Costello as comic geniuses. 4/10""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8703_1,"This movie was dreadful. Biblically very inaccurate. Moses was 80 years old when he led the people out of Egypt, the movie has him about forty. Moses was about forty when he fled Egypt, was gone for forty years, and was with them wandering for forty years. Moses was 120 years old when he died, and was denied the privilege of crossing over to the promised land. I realize movies use a lot of \poetic license\"" as the biblical account isn't that long", but, if making a biblical movie they still need to reflect the facts known, and keep the general flavor of the main biblical character, this movie fails in this aspect, and in many others.Even though the 1956 version has its problems as well," theatrically it was much better.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7483_1,"I don't think I've ever gave something a 1/10 rating, but this one easily gets the denomination. I find it hard just to sit through one of his jokes. It's not just that the jokes are so bad, but combine that with the fact that Carson Daily has zero charisma, can't set up or finish a punchline, and you've got a late night comedy recipe that will really turn your stomach.<br /><br />I have watched the show, never in its entirety, but many times still. It just creeps up on me after Conan. I usually watch a minute or two just to see if Carson daily is still the worst talk show host ever.<br /><br />Actually if you ever do see him interviewing a guest, it's just that, an interview. I feel so sorry every time he has a guest on and their confused smiles try to mask their body language that's screaming, \get me the hell away from this freak!\"" I do recommend watching the show", not for a laugh, but to ponder, how he got on the air and what he's still doing there. Watch as much as you can," I think you will find its complete awkwardness...interesting.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007_10,"Excellent story-telling and cinematography. Poignant, biting social commentary.<br /><br />Superb effects. Well-filmed and acted.<br /><br />However, the parallel action between the present and the travel adventures (though very well done) at times drags on a little too much (about 3 hrs), and over-interrupts the flow of the story.<br /><br />I first read the book as a child, and enjoyed the parts about the giants and the tiny people -- but the book lost me when it got to the floating island and the land of the \yahoos\""! Well", although the adventure plot may sound like a children's story, it's in fact a very adult story, full of symbolism about the moral decay in England at the time of Jonathan Swift," the author of the novel that the film is based upon.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12424_4,"I completely forgot that I'd seen this within a couple of days, which is pretty revealing in itself. The umpteenth version of Gaston 'Phantom of the Opera' Leroux's locked-door country-house mystery, I had heard that it was an engaging and witty update. So it appeared from the likable title sequence and a few neat touches in the opening scene, but the film very quickly ground to a halt and became vaguely tedious and wholly unsatisfying.<br /><br />As a mystery the major problem is that it is fundamentally unsolvable by the audience: like the worst Agatha Christies, it depends on a character appearing in the final act with a wealth of background information that we have not been privy to. As a film, be it comedy or thriller, the crucial problem is that characterisation is almost non-existent. With the exception of the killer, everyone is a face-value version of the typical suspects in the typical country-house murder story - reporter, endangered heiress, suspicious fiancé, scatterbrained scientist father (a surprisingly poor Michel Lonsdale), etc. There's no depth and little of interest, and the frequently over-ripe or misjudged performances don't help. You frankly don't care about anyone in it, so there's no jeopardy or suspense. Only Claude Rich and, in the last reel, Pierre Arditi get anything to work with, and only in the last reel does the film get close to a sense of resonance that is too fleeting to be really effective.<br /><br />For the rest, we get endless exposition and a couple of ineffective would-be comic set pieces (a promising one with a photographer trapped inside a grandfather clock is just too poorly thought through to pay off), with Dennis Podalydes reduced to Irving the Explainer for the last third of the picture. I'm not fond of country-house movies or Agatha Christie style whodunits, so those who are might cit it a lot more slack, but I found it a poor show. As Rich says when the mystery is revealed, \It's all rather something of a disappointment.\""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672_1,"I like action movies. I have a softspot for \B\"" flicks with bad dialogue and wooden acting. So"," I've been wracking my brain to come up with one of my guilty pleasures that was worse than this blockbuster. I can't. You'd be hard pressed to put together a bigger piece of cr*p than this Bruce Willis vehicle.<br /><br />Armageddon is the story (and I use that term loosely) of a team of \""Super-Drillers\"" flying off to destroy an asteroid before it destroys the Earth. Realistic? Not really. But who cares? It's an action flick. I'm not blasting the premise.<br /><br />Minor spoilers:<br /><br />The movie begins with a couple of scenes designed to introduce the threat and the characters. Bruce Willis is the tough-as-nails leader of the team", and spends his first bit of screen time chasing around Ben Affleck with a gun for the unforgiveable act of sleeping with his daughter. For some reason, that didn't make me laugh. It was forced, like everything in this movie.<br /><br />The team is called in because they're the only people in the whole wide world who can drill the asteroid. Okay, I'm prepared to accept that premise if it gets us to the action - the supposed meat of the movie. More attempts at humor, with each character going out to do some crazy, nutty thing before blast off. Again, lame. Finally, they take off. Here's where the movie really pi**ed me off. They arrive on the rock, and set to work. Would you believe it, nothing works right and everything has a suspenseful countdown!!! Whoah! Ten, nine, eight... one - Oh, surprise surprise we saved the day again!!<br /><br />And don't even get me started on the jerky camerawork. When I saw it in the theater I thought I was going to be sick. I can only assume they were trying to cover up the gargantuan holes left by the insipid performances by cutting away to a different shot every few seconds (and this from someone raised on MTV - Mr short attention span himself).<br /><br />Just when I thought it couldn't get any worse... wait - there's a manufactured tearjerker ending that was so tacked on it made the rest of the film a virtual Citizen Kane.<br /><br />Summary: The witticisms weren't witty. The plot - well, I said I'd let that one go. The acting was bad. Really bad. Even Billy Bob couldn't rise above the script, which was worse. Camerawork - again, bad. (I didn't even mention the dumbest love scene in the history of motion pictures - think animal crackers).<br /><br />Rating: 1 out of 10. (I'm giving a half point for Steve Buscemi," who makes me smile against my will and another half point for the times I was able to look at the lovely Liv Tyler and attempt to ignore her acting performance) This is far and away the worst movie I've gone to see in the theater... ever.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10841_3,"This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad. I really lost it with those out of the blue not so \special effect\"". Guys"," If you're an insomniac go with your girl to see this movie. I give it three sleepies!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8954_7,"Watched this flick on Saturday afternoon cable. Man, did it drag. I got the metaphors, symbolism, and all that stuff. No, I didn't care one way or another about the sexuality of the characters. But, the pacing of the story and the scripting almost put me to sleep.<br /><br />That is..... until Ruth Marshall got naked. If you're a breast-man who is not homo-phobic, you may want to rent it. Ruth has a lesbian sex scene that's pretty hot, and then a hetero sex scene that is a notch higher than most standard movie fare. Her jiggly D-cups made the film worth the watch.<br /><br />--The Mighty Avatar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7392_1,"I went to see \TKIA\"" with high expectations", which might have influence on my opinion on it. I have seen all of the Dogme films, and this TKIA, is by far the worst. The story intertwines with themes from Shakespeare's play: King Lear, but never succeeds in capturing the audience and making them care. The directing of the actors is very loose, even for Dogme style movies, and results in poor undefinable acting. The story lacks any dynamics whatsoever, and I lost interest very shortly. There are some scenes in the film which are there to shock the viewer, but I don't think they enhanced the story at all. Mifunes sidste sang and Festen are both Dogmefilms that proved to be well directed, and had good storylines," so I shall look forward to better Dogmefilms in the future. Perhaps Aake Sandgren's \""An Invisible Man-Dogme 6\"" will prove to lift the quality again. For he is"," like Vinterberg and S.K. Jacobsen a skilled and educated director.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10288_8,"All credit to writer/director Gilles Mimouni who fashioned this winding, twisting tale of deceit and betrayal. While keeping the utmost control, he maintains the audience at arm's length, never allowing them to become completely aware of the goings on. Even his clever denouement has you guessing.<br /><br />The three central performances are also top class, with Vincent Cassel, Romane Bohringer and Monica Bellucci doing their utmost to add to the mystery. Jean-Phillippe Ecoffey supplements strength in his supporting role. To give away plot details or character specifics would not be fair.<br /><br />Thierry Arbogast uses the camera effectively to sweep us through this enigma, and Cardine Biggerstaff's editing keeps the story a step ahead of us. The theme from Peter Chase is sublime in its marriage to the ideal of the script.<br /><br />Many may say Gilles Mimouni is trying to confront several deeper issues on the them of love. For me this is simply a haunting, elusive riddle that weaves a fascinating web. Only the French are capable of such tantalisation. Hollywood would have ruined this with a happy ending.<br /><br />Monday, March 2, 1998 - Hoyts Croydon<br /><br />No-one does thriller quite like the French. When they get it right, they really get it right.<br /><br />Vincent Cassell is intriguing as the deceptive Max, Romane Bohringer obsessive as the new Lisa, and Monica Bellucci is mysterious as the first Lisa. The plot from Gilles Mimouni is a whirlwind of deliberate deception and fatally crossed wires.<br /><br />All credit must go to his manipulation of the clever plot, and the performances from the three leads. As Lucien, Jean-Phillippe Ecoffey is strong and emotional.<br /><br />Friday, January 15, 1999 - Video",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5343_4,"As a writing teacher, there are two ending I never allow my students to use: \Then I woke up\"" and \""Then I Got Run Over by a Truck.\"" I am now going to add"," \""Then I got a bump on the head.\"" I feel it's utterly unfair to use these tricks to cover up a lack of imagination. The whole issue of transmigration could have been handled with some intelligence and craft", yet, in this film, they either couldn't or wouldn't do that. I'm not saying it's totally worthless, but it is so predictable in its progress, except for the stupid ending. There are even gangsters who go to the police to get help from this guy. They should have done him in immediately. It's just a forgettable, borderline horror/sci fi film," with nothing new to offer.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4950_1,"I don't know why this has gotten any decent reviews as it could be the weakest horror comedy I've ever seen. Englund is just in it for a cameo and his performance is as unnecessary as most of the lame attempts at jokes (and scares). The direction is terrible and the acting is worse. It seems like every year producers are trying to make another Evil Dead but these weak unoriginal attempts are just stepping on the memory of a true horror classic.<br /><br />Whether its filmmakers saying,\this isn't a remake but its an 80s throwback (which is just as unoriginal in my opinion - Hatchet) or people trying to plug this with other horror classics", Its still misleading and wont make up for the lack of scares, horror, comedy," or even a decent movie for that matter.<br /><br />AVOID AT ALL COSTS!!!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9257_4,"This film was released in the UK under the name Blood Rites. It was banned outright and never submitted again for release.<br /><br />As The Ghastly Ones, it was supposedly a hit with the horror hungry denizens of New York City's famed 42nd Street Grindhouse circuit. If you are looking for some bloody horror, then you will find it in this film.<br /><br />Unfortunately to see the developmentally disabled Colin (Hal Borske) chomp down on a live rabbit, you have to put up with shaky 16mm camera work that makes Ed Wood look positively marvelous.<br /><br />Three sisters are to spend three days in the family homestead with their husbands before the old man's money is disbursed. Naturally, in such a situation, people start dropping dead. Family secrets are exposed and lots of blood is spilled, especially during a gruesome dismemberment.<br /><br />Maybe it was the bunny bit that the Brits objected to, I know I did.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8689_3,"Uncle Fred Olen Ray once again gives us a little of his Retromedia \goodness\"" in the form of this soft-core Cinemax non-classic.<br /><br />A numb-nut pair are out looking at rocks when they come across a swirling vortex a \""black hole\"" as the intelligent dolts put it. Pretty soon an attractive cave girl from one million years ago happens into out time-line and she beds her way into the future. Pretty soon her studly other half makes his way into the future as well and blazes a path through the beds of the future.<br /><br />Ray again delivers a passable (but barely) smut-fest that has horrible acting but some decent skin. Yeah it's barely titillating but heh! If worse comes to worse it will cure you insomnia.<br /><br />S10 reviews: 1/5 or 3/10""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4480_2,"OK, it's watchable if you are sick in bed or have nothing else to do. The suspension of disbelief required to get through this movie is significant though. First, in today's modern society do you believe college coeds get THAT committed to someone in that short of a period of time even if you are a \virtuous\"" Habitat volunteer who likes autistic kids? And the 2 week romance blossoms into a letter exchange that leads to John's \""conflict\"" of whether to re-enlist right after 9/11/01...REALLY? He asks her what to do? Every guy we know was NOT gonna be sitting on the sidelines after those Towers came down(my husband was one of them and I love him and am proud of him for going) John's character is so flat. He's nearly expressionless the entire movie. He's good looking but not Spec Ops...he seems unsure not confident", quiet instead of a hell-raiser, no tattoos," gets into a \""fight\"" with the preppy boys that is nothing more than a pushing match really...walks around without a cover on his head nearly the whole movie...and there are military technical flaws everywhere (epaulets upside down?). The war scenes are dumb...John and another guy heading off on their own...huh?", then other guy gets shot and John drags him 10 feet and starts giving buddy aid before securing the area or back-up arrival or even having their backs against cover...it's a gunfight for God's sakes, you don't stop fighting until its over...heck I wanted to shoot John in the back. Back home," when the truth is revealed and she spills the wine...we hated her for removing her shirt in his presence...WTH? break his heart and THEN tease him into adultery? She's a head case trollop. Best part of the movie is when he drives away from her...at least he had some self respect and honor there. Overall unbelievable story and we generally did not care about these characters or their love. Dismal!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9286_10,"If I was only allowed to watch one program in my entire life, I would definitely have to pick \The Chaser's War on Everything\"". Of all the satirical shows that have been on Australian television"," I found \""Chaser\"" to be the funniest of all. It is just so Amazing", the boys aren't afraid to do anything.<br /><br />Whether it's dress up as Hitler to get into a Polish Club," or push a MASSIVE ball of string around Melbourne to try out the tourism ad's or rock up to the Coke factory naked in a bath with $2.40 to buy some water. The Chaser boys will go there.<br /><br />In agreement with the comments above (and/or below) \""The Chaser's War on Everything\"" is more popular than their previous program \""CNNNN\"". But CNNNN was just as funny. Some unforgettable moments from that show... Clean up Cambodia!!! Classic.<br /><br />So anyway to stop me from Ranting further", I STRONGLY advise you to at least give Chaser a chance," you'll more than likely find it HILARIOUS!!!!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12245_10,"A truly terrific, touching film. Female melodrama at its finest, with a lot of comedy: great dialogue, characters and writing. Any woman can relate to the story because it's a classic: you're in love with \Mr. Right\"" but he has no interest in you until some guy who seems completely wrong comes along and you fall head-over-heels in love. But of course", it's not that simplistic. The characters are real and all of the performances are perfect. The movie is hilarious as well, every scene skewers society. I'd recommend this film to anyone who loves a well-written screenplay of humor and melodrama. You can relate to every character and the plot moves in unexpected directions. A great," underrated movie.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
